NPA,2023
2,"35.2%"
3,"85.4%"
4,"89.4%"
5,"2.5%"
6,"21%"
7,"93.2%"
8,"65.6%"
9,"77.4%"
10,"44.7%"
11,"83.6%"
12,"10%"
13,"41.1%"
14,"48.6%"
15,"57.7%"
16,"29.9%"
17,"27.1%"
18,"72.2%"
19,"70.8%"
20,"62.5%"
21,"29.8%"
22,"63.6%"
23,"33.3%"
24,"55.2%"
25,"72.6%"
26,"34.4%"
27,"30.7%"
28,"73%"
29,"59.2%"
30,"52.5%"
31,"85.3%"
32,"56.8%"
33,"67.4%"
34,"36.6%"
35,"44.1%"
36,"66.5%"
37,"43.8%"
38,"47.9%"
39,"33%"
40,"5.1%"
41,"39.6%"
42,"65.7%"
43,"73.3%"
44,"88.3%"
45,"56.3%"
46,"27.5%"
47,"67.6%"
48,"35.7%"
49,"21.6%"
50,"17.7%"
51,"88%"
52,"20.6%"
53,"26.2%"
54,"13.1%"
55,"43.1%"
56,"54.1%"
57,"24.4%"
58,"13.5%"
59,"19%"
60,"54.3%"
61,"26.4%"
62,"53.1%"
64,"38%"
65,"55.6%"
66,"36.8%"
67,"55.8%"
68,"32.6%"
69,"79.4%"
70,"14%"
71,"29.2%"
72,"58.7%"
73,"32.9%"
74,"54.2%"
75,"69.3%"
76,"50%"
77,"47%"
78,"41.2%"
79,"7.4%"
80,"53.9%"
81,"44.7%"
82,"46.1%"
83,"43.6%"
84,"43.9%"
85,"5.1%"
86,"38.6%"
87,"18.4%"
88,"5.4%"
89,"11.2%"
90,"29%"
91,"20.6%"
92,"58.4%"
93,"28.9%"
94,"10.9%"
95,"37.2%"
96,"29.7%"
97,"44.1%"
98,"40.4%"
99,"33.4%"
100,"10.4%"
101,"16.3%"
102,"21.2%"
103,"23.4%"
105,"75.9%"
106,"24.2%"
107,"35.5%"
108,"32.3%"
109,"58.5%"
110,"42.3%"
111,"55%"
112,"37.1%"
113,"24.5%"
114,"13.6%"
115,"74.6%"
116,"47.2%"
117,"47%"
118,"69.7%"
119,"26.5%"
120,"21.8%"
121,"44.2%"
122,"--"
123,"27%"
124,"15.5%"
125,"42.1%"
126,"60.5%"
127,"20.2%"
128,"11%"
129,"64%"
130,"67.7%"
131,"52.3%"
132,"57%"
133,"63.8%"
134,"18.7%"
135,"18.9%"
136,"56.6%"
137,"30%"
138,"6%"
139,"47.1%"
140,"27.4%"
141,"15.8%"
142,"30.8%"
143,"85.7%"
144,"34.3%"
145,"20.4%"
146,"24.7%"
147,"19%"
148,"73.4%"
149,"89.2%"
150,"17.8%"
151,"64.2%"
152,"24.5%"
153,"60.8%"
154,"63.6%"
155,"37.1%"
156,"24.2%"
157,"35.4%"
158,"9%"
159,"20.3%"
160,"18.9%"
161,"44.6%"
162,"15.6%"
163,"67.8%"
164,"15.9%"
165,"14.1%"
166,"11.5%"
167,"24%"
168,"13.7%"
169,"75.1%"
170,"64%"
171,"79.1%"
172,"57.6%"
173,"24%"
174,"19.6%"
175,"74.9%"
176,"66.9%"
177,"76.4%"
178,"61.4%"
179,"62.9%"
180,"24.4%"
181,"61.3%"
182,"9.1%"
183,"12.6%"
184,"81.4%"
185,"26%"
186,"21.5%"
187,"73.2%"
188,"68.6%"
189,"50.3%"
190,"4%"
191,"47.3%"
192,"49.8%"
193,"73.4%"
194,"85.8%"
195,"48.6%"
196,"22.1%"
197,"25.2%"
198,"60.8%"
199,"8.8%"
200,"58.4%"
201,"87%"
202,"19.5%"
203,"43.4%"
204,"63.2%"
205,"83%"
206,"84.3%"
207,"61.2%"
208,"89.7%"
209,"43.3%"
210,"66.9%"
211,"32.6%"
212,"39.8%"
213,"81.6%"
215,"79.5%"
216,"69.8%"
217,"74.6%"
218,"48.8%"
219,"48.9%"
220,"11%"
221,"22.3%"
222,"73.7%"
223,"44.1%"
224,"50.5%"
225,"41.4%"
226,"68.9%"
227,"37.6%"
228,"41.6%"
229,"29.7%"
230,"50.7%"
231,"35.4%"
232,"38.2%"
233,"61.1%"
234,"30.8%"
235,"77.1%"
236,"65.2%"
237,"28.4%"
238,"26.8%"
240,"50.7%"
241,"85.3%"
242,"30.4%"
243,"33.6%"
244,"42.1%"
245,"54.3%"
246,"43.4%"
247,"33.3%"
248,"30.4%"
249,"3.9%"
250,"42.7%"
251,"49.2%"
252,"48.8%"
253,"71.1%"
254,"49.3%"
255,"74.3%"
256,"73.8%"
257,"52.1%"
258,"14.9%"
259,"31.6%"
260,"33.6%"
261,"53.6%"
262,"76.7%"
263,"68.8%"
264,"69%"
265,"38.5%"
266,"48%"
267,"44.1%"
268,"29.5%"
269,"67.6%"
270,"27.8%"
271,"26.2%"
272,"21.8%"
273,"30.5%"
274,"35.5%"
275,"62.8%"
276,"46.3%"
277,"58.6%"
278,"39.9%"
279,"23.8%"
280,"40.3%"
281,"53.2%"
282,"33.6%"
283,"37.4%"
284,"76.7%"
285,"--"
286,"25.1%"
287,"50%"
288,"64.4%"
289,"38.8%"
290,"64.4%"
291,"16%"
292,"12.9%"
293,"26.3%"
294,"23.7%"
295,"31.2%"
296,"38.1%"
297,"84%"
298,"44.8%"
299,"42.5%"
300,"55.3%"
301,"61.2%"
302,"58.2%"
303,"34.2%"
304,"0%"
305,"28.2%"
306,"22%"
307,"30.3%"
308,"54.3%"
309,"62.8%"
310,"49.5%"
311,"16.7%"
312,"12.4%"
313,"20.6%"
314,"30.1%"
315,"78.2%"
316,"10.7%"
317,"54.5%"
318,"32.3%"
319,"39.5%"
320,"96.4%"
321,"10.9%"
322,"23.2%"
323,"16.5%"
324,"57.2%"
325,"32.8%"
326,"27%"
327,"8.2%"
328,"67.7%"
329,"31.9%"
330,"45%"
331,"45.6%"
332,"38.3%"
333,"29.4%"
334,"79.6%"
335,"58.5%"
336,"43.1%"
337,"60.9%"
338,"83.2%"
339,"78%"
343,"62.6%"
344,"68.7%"
345,"33.4%"
346,"21.4%"
347,"49.3%"
348,"30.4%"
349,"75.8%"
350,"83.5%"
351,"71.9%"
352,"60.9%"
353,"82%"
354,"27%"
355,"70.7%"
356,"74.5%"
357,"65.8%"
358,"76%"
359,"82.4%"
360,"44.3%"
361,"63.8%"
362,"18%"
363,"6.2%"
364,"90.7%"
365,"58.9%"
366,"55.3%"
367,"82.7%"
368,"24.6%"
369,"10.2%"
370,"7.2%"
371,"17.1%"
372,"57.8%"
373,"78.7%"
374,"13.9%"
375,"79.4%"
376,"41.1%"
377,"54.3%"
378,"80.7%"
379,"75.8%"
380,"72.6%"
381,"74.8%"
382,"40.3%"
383,"32.7%"
385,"20%"
386,"55.9%"
387,"25.2%"
388,"65.1%"
389,"27.8%"
390,"53.2%"
391,"71.2%"
392,"88.7%"
393,"72.7%"
394,"45.5%"
395,"54.2%"
396,"32.1%"
397,"43.5%"
398,"49.9%"
399,"55.2%"
400,"68%"
401,"42.5%"
402,"41.2%"
403,"51.1%"
404,"30.2%"
405,"50.5%"
406,"36%"
407,"49.7%"
408,"34.8%"
409,"75.4%"
410,"63%"
411,"48.2%"
412,"24.4%"
413,"61%"
416,"50%"
417,"51.4%"
418,"63.1%"
419,"80.5%"
420,"59.8%"
421,"48.9%"
422,"47.5%"
423,"52.7%"
424,"68.7%"
425,"38.3%"
426,"34.2%"
428,"26.6%"
430,"49.3%"
431,"24.3%"
432,"66.3%"
433,"58.9%"
434,"67.1%"
435,"30.3%"
436,"31.9%"
437,"71.3%"
438,"72.6%"
442,"28.6%"
443,"60%"
444,"38.6%"
445,"52.3%"
446,"42.8%"
447,"54.4%"
448,"53.6%"
449,"74.9%"
450,"62%"
451,"79%"
452,"53.2%"
453,"30.6%"
454,"36.1%"
455,"39.7%"
456,"50.4%"
457,"77.5%"
458,"53.8%"
459,"42.6%"
460,"44.2%"
462,"40.8%"
463,"35.8%"
464,"61%"
465,"63.5%"
466,"54.4%"
467,"52.1%"
468,"100%"
469,"81.8%"
470,"62.2%"
471,"66.4%"
472,"40.6%"
473,"50.5%"
474,"63.9%"
475,"83.7%"
476,"62.9%"
