NPA,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
2,"8.8%","11.5%","11.5%","15.4%","11.6%","12.2%","19%","33.5%","33.3%","33%"
3,"5.6%","5.7%","5.7%","6.2%","4.7%","5.5%","4.5%","4.2%","8.3%","6.6%"
4,"2.4%","3.7%","0.9%","2.3%","3.5%","4%","6%","2.3%","5.7%","6.2%"
5,"22.2%","21.4%","23.5%","17.4%","23.5%","36.8%","24.7%","46%","49%","43.3%"
6,"15.7%","20.7%","19.5%","21.2%","20%","25.2%","23.1%","38%","44.5%","35.6%"
7,"1.1%","4.7%","1.4%","1.4%","1.3%","2%","2%","1.3%","22.1%","8.2%"
8,"4.2%","10.8%","9.1%","8.1%","10.7%","4.2%","5.4%","10.4%","20.5%","13.5%"
9,"9.3%","12%","20.7%","4.4%","10.7%","17.9%","28.3%","16.7%","25.9%","15.5%"
10,"13%","20.5%","19.3%","17.1%","14.5%","17.9%","14.6%","38.4%","38.4%","26.3%"
11,"3.5%","3.7%","1.9%","2.6%","3.2%","3.4%","5.6%","3.6%","11%","5.6%"
12,"12.1%","17.4%","19.5%","15.5%","19%","20.3%","21.3%","43.9%","42.7%","32.4%"
13,"7.8%","9%","11.3%","13.9%","11.6%","15%","19.6%","26.4%","36.2%","36.4%"
14,"8%","8.5%","10.3%","9.1%","11.6%","8.5%","16.1%","21.3%","29.9%","20.5%"
15,"4.1%","5.6%","5.6%","10.5%","8.3%","4.2%","9.3%","5.6%","18.1%","8.7%"
16,"9%","12.4%","12.8%","11.2%","11.9%","11%","13.8%","27.1%","31.9%","25.3%"
17,"11.4%","11.6%","11.7%","14%","17.7%","15.2%","19.3%","29.4%","38.9%","28.1%"
18,"6.3%","4.8%","3.3%","4.7%","6.6%","10.5%","12.6%","6.2%","16.1%","14.8%"
19,"5.3%","9.3%","7.3%","5.1%","7.9%","7.1%","8.1%","10.6%","15.8%","13.4%"
20,"6.7%","5.8%","5.5%","6.1%","3.2%","6%","8.1%","5.4%","13.3%","13.7%"
21,"7.4%","9.9%","7.4%","12.8%","11.9%","7.2%","13.5%","34.8%","25.6%","21.4%"
22,"7.3%","5.9%","16.2%","14%","30.2%","11.4%","18.2%","12.9%","41.5%","27%"
23,"11.5%","17.6%","12.6%","15.6%","13.7%","15.8%","24.5%","42.6%","42.2%","33.9%"
24,"13.5%","15%","10.1%","8.6%","13.2%","11.8%","17.5%","24.1%","25%","10.2%"
25,"3.6%","6.2%","5.1%","3.2%","5%","6.3%","2.9%","4.8%","9%","5.6%"
26,"4.5%","10.4%","7.6%","7.8%","6.7%","13.1%","17.2%","20.1%","20.4%","20.9%"
27,"7.1%","8.8%","9.8%","9.6%","11%","9.2%","11.6%","16.3%","29.3%","21.3%"
