NPA,2010,2012,2014,2015,2016,2017,2018,2020,2022,2023,2024,2025,2010 Raw,2012 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2022 Raw,2023 Raw,2024 Raw,2025 Raw
2,"42.1%","77%","54.3%","23.2%","73%","23.6%","66.4%","71.1%","58.6%","20.5%","80.7%","31.6%","496","1,029","603","270","309","383","811","1,190","801","262","1,098","430"
3,"47.1%","81.4%","53.3%","24%","69.7%","25.5%","66.7%","74.7%","60.6%","20.3%","79.4%","27.4%","2,172","4,425","2,787","1,354","1,128","1,736","3,991","7,459","4,485","1,427","7,030","2,423"
4,"66.1%","88.1%","69.5%","41.6%","85.2%","43.1%","78.4%","87.3%","74.5%","35.6%","87.7%","43.4%","485","687","505","306","710","381","632","810","579","288","711","352"
5,"23.2%","67.6%","28.6%","4.6%","70.8%","8%","42.5%","46.9%","30.2%","10.9%","57.6%","11.8%","79","269","120","20","779","41","141","253","100","34","230","47"
6,"27.5%","67.8%","34.6%","9.6%","62.2%","11.5%","47.4%","52.5%","39.5%","12.5%","68.6%","20.5%","280","795","380","107","672","158","452","771","408","120","694","207"
7,"62.8%","87.4%","68.4%","43.5%","75.6%","40.5%","74.1%","84.7%","67.4%","26.7%","86.9%","37.3%","565","826","611","399","1,048","424","694","909","826","325","1,067","458"
8,"46.4%","79.8%","57.7%","26.3%","70.2%","31.9%","73.3%","76.9%","66.3%","31.4%","87.1%","39.8%","455","816","583","257","1,374","363","691","1,149","868","404","1,144","522"
9,"32.6%","77%","55.9%","26%","81.3%","27.3%","71.8%","79.2%","66.1%","23.5%","93.1%","33%","111","265","175","87","658","138","280","433","302","105","429","152"
10,"34.1%","69.4%","45.5%","16.6%","78.9%","17.8%","57.8%","66.6%","52.8%","17.7%","82%","32.2%","618","1,419","750","286","924","471","1,070","1,736","1,101","356","1,522","597"
11,"55.3%","87.8%","67.5%","33.2%","78.8%","39.2%","76.8%","85%","71.9%","30%","88.5%","42.5%","890","1,498","1,052","539","1,630","821","1,457","1,846","1,485","623","1,839","883"
12,"28.5%","71.4%","34%","7.6%","70.1%","7.4%","45.5%","49.6%","26.4%","7.7%","66.3%","10.7%","235","715","304","73","2,103","102","437","676","226","57","429","69"
13,"32.9%","76.6%","48.4%","15.8%","74.9%","18.3%","58.9%","62.4%","46.3%","15.8%","77.6%","26.7%","448","1,114","621","222","946","393","970","1,384","860","256","1,216","418"
14,"40.6%","78.9%","48.6%","14.3%","47.5%","17.5%","62.1%","67.8%","45.1%","16.4%","76%","22.9%","697","1,496","816","259","122","396","1,146","1,709","886","313","1,417","426"
15,"56.6%","81.2%","63.3%","32.2%","64.5%","32.9%","73.8%","80.9%","70%","33.8%","88.9%","41.9%","821","1,227","862","456","685","558","1,070","1,441","1,106","525","1,375","648"
16,"41.8%","76.8%","48.9%","16.4%","77.9%","18.7%","57.5%","66.4%","45.3%","17.6%","75.7%","25%","930","1,893","1,052","370","619","579","1,316","2,054","1,080","396","1,722","570"
17,"47.5%","76.9%","51.3%","18.5%","71.9%","22%","63.6%","64.6%","49.5%","21.4%","77.6%","27.9%","865","1,563","1,018","374","1,093","481","1,051","1,489","822","336","1,209","434"
18,"48.2%","83.9%","56.9%","30.5%","72.6%","33.2%","70.2%","77%","63.4%","24.3%","81.8%","32%","867","1,655","1,049","608","431","793","1,436","2,201","1,618","613","2,139","836"
19,"54.2%","83.1%","63.7%","31.4%","71.6%","33.7%","76.2%","83.1%","69.7%","33%","89.6%","41.6%","1,425","2,274","1,548","785","194","1,047","2,002","2,641","1,977","933","2,572","1,194"
20,"48.2%","83.5%","58.7%","22.5%","64.2%","26%","70.4%","75.3%","64.6%","23.4%","85.8%","29.9%","907","1,616","1,009","413","769","603","1,341","1,814","1,349","349","1,685","587"
21,"31.4%","71.7%","42.4%","11.2%","58.3%","9.6%","52.2%","57.6%","36%","8.7%","64.3%","15.4%","238","739","375","107","570","150","580","907","464","109","1,136","273"
22,"31.4%","67.8%","40.8%","8.8%","72.7%","12.5%","55.4%","76.1%","50.6%","9.3%","74.4%","20.7%","130","374","179","45","532","114","372","1,581","949","214","2,469","688"
23,"37.7%","79.7%","45.4%","13.8%","65.9%","16.3%","53.6%","63.6%","43.2%","17.2%","76.5%","23.6%","197","525","287","93","507","134","335","598","325","129","499","154"
24,"37.1%","71.2%","57.9%","27.6%","74.3%","22.8%","68.1%","77.2%","65.5%","21.5%","76.4%","27.8%","190","375","230","116","606","142","324","466","311","103","558","203"
25,"50.9%","81.4%","61.4%","27.6%","67.8%","29.9%","72.5%","81.1%","67.3%","20.8%","87.1%","28.7%","991","1,673","1,124","526","554","724","1,478","1,950","1,474","451","1,865","614"
26,"48.7%","81.6%","49.3%","5.9%","72.5%","10.1%","65.7%","74.2%","56.2%","11.8%","85%","19.2%","892","1,551","932","115","880","226","1,233","1,755","1,042","215","1,529","345"
27,"38.2%","77.4%","48.5%","11.8%","68.4%","14.7%","58.1%","73.6%","41.7%","11.3%","76.2%","20%","426","994","540","139","990","202","638","1,216","595","158","1,099","289"
28,"58.2%","88.1%","65.7%","38.2%","62.6%","39%","74.9%","86%","68.8%","32.3%","89.2%","38.8%","382","656","474","287","395","359","649","831","643","309","819","356"
29,"53.1%","81%","59.8%","27.9%","74.6%","30.5%","75%","79.6%","65.4%","23.4%","87.6%","34.5%","478","761","492","236","542","334","662","832","612","217","761","300"
30,"29.3%","77.8%","42.1%","7.2%","68.9%","6.4%","43.8%","56.1%","33.6%","5.3%","58.6%","13.6%","134","562","350","65","565","92","435","998","395","56","737","171"
